Key,Score,First Word,antibiotic,gene
amikacin_K00663,3,Strong,amikacin,K00663
amikacin_K03297,2,Moderate,amikacin,K03297
amikacin_K03395,3,Strong,amikacin,K03395
amikacin_K03543,3,Strong,amikacin,K03543
amikacin_K03585,3,Strong,amikacin,K03585
amikacin_K03712,2,Moderate,amikacin,K03712
amikacin_K03760,2,Moderate,amikacin,K03760
amikacin_K06979,2,Moderate,amikacin,K06979
amikacin_K07264,1,Weak,amikacin,K07264
amikacin_K07799,3,Strong,amikacin,K07799
amikacin_K08161,2,Moderate,amikacin,K08161
amikacin_K08167,3,Strong,amikacin,K08167
amikacin_K08170,1,Weak,amikacin,K08170
amikacin_K09475,2,Moderate,amikacin,K09475
amikacin_K10673,2,Moderate,amikacin,K10673
amikacin_K12340,2,Moderate,amikacin,K12340
amikacin_K15547,3,Strong,amikacin,K15547
amikacin_K17881,3,Strong,amikacin,K17881
amikacin_K18072,2,Moderate,amikacin,K18072
amikacin_K18073,2,Moderate,amikacin,K18073
amikacin_K18093,2,Moderate,amikacin,K18093
amikacin_K18095,3,Strong,amikacin,K18095
amikacin_K18129,3,Strong,amikacin,K18129
amikacin_K18138,3,Strong,amikacin,K18138
amikacin_K18139,3,Strong,amikacin,K18139
amikacin_K18140,2,Moderate,amikacin,K18140
amikacin_K18144,1,Weak,amikacin,K18144
amikacin_K18145,2,Moderate,amikacin,K18145
amikacin_K18294,3,Strong,amikacin,K18294
amikacin_K18295,3,Strong,amikacin,K18295
amikacin_K18298,2,Moderate,amikacin,K18298
amikacin_K18300,2,Moderate,amikacin,K18300
amikacin_K18302,3,Strong,amikacin,K18302
amikacin_K18476,2,Moderate,amikacin,K18476
amikacin_K18768,2,Moderate,amikacin,K18768
amikacin_K18815,3,Strong,amikacin,K18815
amikacin_K18816,3,Strong,amikacin,K18816
amikacin_K18845,3,Strong,amikacin,K18845
amikacin_K18901,2,Moderate,amikacin,K18901
amikacin_K18902,2,Moderate,amikacin,K18902
amikacin_K18908,1,Weak,amikacin,K18908
amikacin_K18975,2,Moderate,amikacin,K18975
amikacin_K19272,3,Strong,amikacin,K19272
amikacin_K19273,-1,Evidence,amikacin,K19273
amikacin_K19274,3,Strong,amikacin,K19274
amikacin_K19275,2,Moderate,amikacin,K19275
amikacin_K19276,3,Strong,amikacin,K19276
amikacin_K19277,3,Strong,amikacin,K19277
amikacin_K19278,3,Strong,amikacin,K19278
amikacin_K19299,3,Strong,amikacin,K19299
amikacin_K19300,3,Strong,amikacin,K19300
amikacin_K19301,3,Strong,amikacin,K19301
amikacin_K19315,3,Strong,amikacin,K19315
amikacin_K19593,3,Strong,amikacin,K19593
amikacin_K19644,3,Strong,amikacin,K19644
amikacin_K19645,3,Strong,amikacin,K19645
amikacin_K19883,3,Strong,amikacin,K19883
amikacin_K20320,-1,Evidence,amikacin,K20320
amikacin_K21134,2,Moderate,amikacin,K21134
amikacin_K21135,2,Moderate,amikacin,K21135
amikacin_K21136,3,Strong,amikacin,K21136
amoxicillin_K00687,3,Strong,amoxicillin,K00687
amoxicillin_K00790,1,Weak,amoxicillin,K00790
amoxicillin_K00796,2,Moderate,amoxicillin,K00796
amoxicillin_K01467,3,Strong,amoxicillin,K01467
amoxicillin_K02547,3,Strong,amoxicillin,K02547
amoxicillin_K02621,2,Moderate,amoxicillin,K02621
amoxicillin_K03297,3,Strong,amoxicillin,K03297
amoxicillin_K03327,2,Moderate,amoxicillin,K03327
amoxicillin_K03446,3,Strong,amoxicillin,K03446
amoxicillin_K03543,2,Moderate,amoxicillin,K03543
amoxicillin_K03577,2,Moderate,amoxicillin,K03577
amoxicillin_K03585,2,Moderate,amoxicillin,K03585
amoxicillin_K03587,3,Strong,amoxicillin,K03587
amoxicillin_K03712,2,Moderate,amoxicillin,K03712
amoxicillin_K05804,2,Moderate,amoxicillin,K05804
amoxicillin_K07664,2,Moderate,amoxicillin,K07664
amoxicillin_K07788,2,Moderate,amoxicillin,K07788
amoxicillin_K07789,3,Strong,amoxicillin,K07789
amoxicillin_K07799,2,Moderate,amoxicillin,K07799
amoxicillin_K08161,3,Strong,amoxicillin,K08161
amoxicillin_K08162,2,Moderate,amoxicillin,K08162
amoxicillin_K08167,2,Moderate,amoxicillin,K08167
amoxicillin_K08168,3,Strong,amoxicillin,K08168
amoxicillin_K08170,2,Moderate,amoxicillin,K08170
amoxicillin_K09475,3,Strong,amoxicillin,K09475
amoxicillin_K09476,3,Strong,amoxicillin,K09476
amoxicillin_K10673,3,Strong,amoxicillin,K10673
amoxicillin_K12340,3,Strong,amoxicillin,K12340
amoxicillin_K12556,3,Strong,amoxicillin,K12556
amoxicillin_K13631,2,Moderate,amoxicillin,K13631
amoxicillin_K13632,3,Strong,amoxicillin,K13632
amoxicillin_K15550,2,Moderate,amoxicillin,K15550
amoxicillin_K15974,2,Moderate,amoxicillin,K15974
amoxicillin_K17836,3,Strong,amoxicillin,K17836
amoxicillin_K18073,2,Moderate,amoxicillin,K18073
amoxicillin_K18095,3,Strong,amoxicillin,K18095
amoxicillin_K18129,3,Strong,amoxicillin,K18129
amoxicillin_K18130,3,Strong,amoxicillin,K18130
amoxicillin_K18131,-1,Evidence,amoxicillin,K18131
amoxicillin_K18135,3,Strong,amoxicillin,K18135
amoxicillin_K18138,3,Strong,amoxicillin,K18138
amoxicillin_K18139,3,Strong,amoxicillin,K18139
amoxicillin_K18141,2,Moderate,amoxicillin,K18141
amoxicillin_K18144,3,Strong,amoxicillin,K18144
amoxicillin_K18145,3,Strong,amoxicillin,K18145
amoxicillin_K18147,2,Moderate,amoxicillin,K18147
amoxicillin_K18231,-1,Evidence,amoxicillin,K18231
amoxicillin_K18295,3,Strong,amoxicillin,K18295
amoxicillin_K18297,2,Moderate,amoxicillin,K18297
amoxicillin_K18298,2,Moderate,amoxicillin,K18298
amoxicillin_K18299,2,Moderate,amoxicillin,K18299
amoxicillin_K18300,2,Moderate,amoxicillin,K18300
amoxicillin_K18301,2,Moderate,amoxicillin,K18301
amoxicillin_K18302,3,Strong,amoxicillin,K18302
amoxicillin_K18303,3,Strong,amoxicillin,K18303
amoxicillin_K18305,2,Moderate,amoxicillin,K18305
amoxicillin_K18306,2,Moderate,amoxicillin,K18306
amoxicillin_K18307,3,Strong,amoxicillin,K18307
amoxicillin_K18590,3,Strong,amoxicillin,K18590
amoxicillin_K18698,3,Strong,amoxicillin,K18698
amoxicillin_K18699,3,Strong,amoxicillin,K18699
amoxicillin_K18766,3,Strong,amoxicillin,K18766
amoxicillin_K18767,3,Strong,amoxicillin,K18767
amoxicillin_K18768,3,Strong,amoxicillin,K18768
amoxicillin_K18780,3,Strong,amoxicillin,K18780
